,Title,Ratings,Reviews,Price
0,"realme C20 (Cool Blue, 32 GB)",4.4,"1,83,334 Ratings & 8,729 Reviews","₹7,499₹7,9996% off"
1,"realme C20 (Cool Grey, 32 GB)",4.4,"1,83,334 Ratings & 8,729 Reviews","₹7,499₹7,9996% off"
2,"POCO C3 (Arctic Blue, 64 GB)",4.3,"2,23,370 Ratings & 13,999 Reviews","₹8,349₹10,99924% off"
3,Mafe STYLE,4.3,"2,23,370 Ratings & 13,999 Reviews","₹1,069₹1,0992% off"
4,"POCO C3 (Matte Black, 64 GB)",4.4,"57,817 Ratings & 3,649 Reviews","₹8,349₹10,99924% off"
5,"OPPO A12 (Blue, 32 GB)",4.4,"36,746 Ratings & 1,747 Reviews","₹9,490₹10,99013% off"
6,"OPPO A12 (Deep Blue, 64 GB)",3.5,19 Ratings & 0 Reviews,"₹9,490₹11,99020% off"
7,Mafe Raga,4.4,"36,746 Ratings & 1,747 Reviews",₹849₹8995% off
8,"OPPO A12 (Flowing Silver, 64 GB)",4.4,"57,817 Ratings & 3,649 Reviews","₹9,490₹11,99020% off"
9,"OPPO A12 (Black, 32 GB)",4.5,"48,461 Ratings & 2,426 Reviews","₹9,490₹10,99013% off"
10,"OPPO A53 (Mint Cream, 64 GB)",4.3,"3,15,865 Ratings & 22,024 Reviews","₹10,990₹15,99031% off"
11,Mafe Raga Combo of Two Mobiles,4.4,"31,479 Ratings & 1,936 Reviews","₹1,599₹1,6191% off"
12,"POCO C3 (Matte Black, 32 GB)",4.3,"36,675 Ratings & 2,635 Reviews","₹7,349₹9,99926% off"
13,"OPPO A53 (Moonlight Black, 128 GB)",4.3,"4,36,440 Ratings & 25,639 Reviews","₹13,990₹17,99022% off"
14,"POCO M3 (Cool Blue, 64 GB)",4.3,"3,46,575 Ratings & 25,459 Reviews","₹10,999₹11,9998% off"
15,Mafe Energy,4.3,"3,46,575 Ratings & 25,459 Reviews",₹699
16,"REDMI 9i (Nature Green, 64 GB)",4.3,"16,348 Ratings & 979 Reviews","₹8,799₹9,99912% off"
17,"POCO M3 (Cool Blue, 64 GB)",4.3,"16,348 Ratings & 979 Reviews","₹11,999₹12,9997% off"
18,"POCO M3 (Power Black, 64 GB)",4.3,"27,193 Ratings & 1,866 Reviews","₹11,999₹12,9997% off"
19,"realme C11 2021 (Cool Grey, 32 GB)",4.3,"4,36,440 Ratings & 25,639 Reviews","₹7,299₹7,9998% off"
20,"realme C11 2021 (Cool Blue, 32 GB)",4.3,"3,15,865 Ratings & 22,024 Reviews","₹7,299₹7,9998% off"
